factor,slider.response,my_rs,difference
standard_plot,0.344444444,0.487272727,0.142828283
size_manipulated,0.711111111,0.684772727,-0.02633838399999999
standard_plot,0.268888889,0.361590909,0.09270202
size_manipulated,0.833333333,0.864318182,0.03098484899999998
standard_plot,0.815555556,0.936136364,0.12058080800000004
size_manipulated,0.874444444,0.918181818,0.04373737399999999
standard_plot,0.367777778,0.684772727,0.316994949
size_manipulated,0.364444444,0.361590909,-0.00285353499999996
size_manipulated,0.662222222,0.612954545,-0.04926767700000001
size_manipulated,0.743333333,0.738636364,-0.00469696900000005
size_manipulated,0.607777778,0.648863636,0.04108585799999997
size_manipulated,0.547777778,0.541136364,-0.00664141400000006
standard_plot,0.556666667,0.720681818,0.16401515099999997
size_manipulated,0.832222222,0.828409091,-0.00381313099999991
size_manipulated,0.964444444,0.954090909,-0.01035353499999991
standard_plot,0.86,0.882272727,0.02227272700000004
standard_plot,0.361111111,0.666818182,0.305707071
standard_plot,0.47,0.810454545,0.34045454500000005
size_manipulated,0.484444444,0.595,0.110555556
size_manipulated,0.393333333,0.559090909,0.16575757600000002
size_manipulated,0.4,0.469318182,0.06931818199999995
size_manipulated,0.827777778,0.846363636,0.01858585800000001
standard_plot,0.098888889,0.379545455,0.280656566
standard_plot,0.828888889,0.846363636,0.01747474699999995
size_manipulated,0.627777778,0.451363636,-0.176414142
standard_plot,0.464444444,0.415454545,-0.048989899
standard_plot,0.975555556,0.99,0.014444444
standard_plot,0.418888889,0.577045455,0.15815656600000003
size_manipulated,0.378888889,0.3975,0.01861111100000001
standard_plot,0.422222222,0.325681818,-0.09654040399999995
standard_plot,0.49,0.738636364,0.248636364
standard_plot,0.41,0.307727273,-0.10227272699999997
size_manipulated,0.36,0.253863636,-0.10613636399999998
size_manipulated,0.388888889,0.307727273,-0.08116161599999999
size_manipulated,0.543333333,0.487272727,-0.05606060599999996
standard_plot,0.25,0.271818182,0.02181818200000002
standard_plot,0.692222222,0.756590909,0.06436868699999998
standard_plot,0.888888889,0.900227273,0.01133838400000009
size_manipulated,0.884444444,0.810454545,-0.07398989899999997
standard_plot,0.786666667,0.630909091,-0.15575757599999995
size_manipulated,0.728888889,0.379545455,-0.34934343400000006
standard_plot,0.798888889,0.864318182,0.065429293
standard_plot,0.197777778,0.2,0.00222222200000002
standard_plot,0.171111111,0.451363636,0.280252525
size_manipulated,0.813333333,0.505227273,-0.30810605999999996
standard_plot,0.718888889,0.595,-0.12388888900000006
size_manipulated,0.817777778,0.666818182,-0.15095959599999997
standard_plot,0.547777778,0.253863636,-0.29391414200000004
standard_plot,0.503333333,0.433409091,-0.06992424200000003
size_manipulated,0.346666667,0.235909091,-0.110757576
standard_plot,0.573333333,0.648863636,0.07553030299999997
size_manipulated,0.91,0.774545455,-0.13545454499999998
size_manipulated,0.33,0.271818182,-0.05818181799999999
standard_plot,0.29,0.343636364,0.05363636400000005
standard_plot,0.185555556,0.289772727,0.104217171
standard_plot,0.237777778,0.217954545,-0.01982323299999999
size_manipulated,0.186666667,0.2,0.013333333
size_manipulated,0.717777778,0.720681818,0.00290403999999999
